Uuid,Void/Retire,Name,Description,Parent,Tag|Login Location,Tag|Visit Location,Tag|Facility Location,Tag|queue location,Tag|Admission Location,Tag|Transfer Location,Tag|Appointment Location,Address 1,Address 2,Address 3,Address 4,Address 5,Address 6,City/Village,County/District,State/Province,Postal Code,Country,_order:1000
35d2234e-129a-4c40-abb2-1ae0b72c1602,FALSE,Hospital Santa Clotilde,Main hospital facility providing comprehensive healthcare services in the Napo region of Loreto.,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,PERÚ,
35d2234e-129a-4c40-abb2-1ae0b72c1603,FALSE,Casita Azul,"Outpatient clinic affiliated with Hospital Santa Clotilde, offering primary care and basic medical services.",,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400001,FALSE,UPSS - CONSULTA EXTERNA,Specialized outpatient consultation services unit at Hospital Santa Clotilde.,Hospital Santa Clotilde,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400002,FALSE,UPSS - HOSPITALIZACIÓN,Inpatient hospitalization unit for patient admissions and overnight care at Hospital Santa Clotilde.,Hospital Santa Clotilde,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400003,FALSE,UPSS - EMERGENCIA,Emergency services unit providing urgent medical care at Hospital Santa Clotilde.,Hospital Santa Clotilde,TRUE,TRUE,FALSE,TRUE ,TRUE,TRUE,FALSE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400004,FALSE,UPSS - CENTRO OBSTÉTRICO,Obstetric center dedicated to childbirth and maternal health at Hospital Santa Clotilde.,Hospital Santa Clotilde,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400005,FALSE,UPSS - CENTRO QUIRÚRGICO,Surgical center for advanced operative procedures at Hospital Santa Clotilde.,Hospital Santa Clotilde,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400006,TRUE,UPSS - PATOLOGÍA CLÍNICA,Clinical pathology unit for disease diagnosis and analysis at Hospital Santa Clotilde.,Hospital Santa Clotilde,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400013,TRUE,UPSS - DIAGNOSTICO POR IMÁGENES,Diagnostico por imagenes.......................................................,Hospital Santa Clotilde,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400008,TRUE,UPSS - ANATOMÍA PATOLÓGICA,Anatomical pathology unit for tissue analysis and diagnostics at Hospital Santa Clotilde.,Hospital Santa Clotilde,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400007,FALSE,UPSS - FARMACIA,Pharmacy services unit ensuring medication availability at Hospital Santa Clotilde.,Hospital Santa Clotilde,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400009,FALSE,UPSS - CENTRAL DE ESTERILIZACIÓN,Sterilization center ensuring equipment hygiene at Hospital Santa Clotilde.,Hospital Santa Clotilde,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400010,FALSE,UPSS - MEDICINA DE REHABILITACION,Rehabilitation medicine unit for patient recovery and therapy at Hospital Santa Clotilde.,Hospital Santa Clotilde,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400011,TRUE,UPSS - HEMODIALISIS,Hemodialysis unit for kidney treatment and dialysis care at Hospital Santa Clotilde.,Hospital Santa Clotilde,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400012,TRUE,UPSS - NUTRICIÓN Y DIETÉTICA,Nutrition and dietetics unit managing patient dietary needs at Hospital Santa Clotilde.,Hospital Santa Clotilde,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2400113,FALSE,UPSS - SERVICIOS ADMINISTRATIVOS,Health facility administrative services unit overseeing operations at Hospital Santa Clotilde.,Hospital Santa Clotilde,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2010000,TRUE,UPS - Servicios Administrativos,"Administrative services unit managing operations, logistics, and staff coordination at Hospital Santa Clotilde.",Hospital Santa Clotilde,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2011400,TRUE,UPS - Jefatura de Enfermería,Nursing management unit overseeing nursing staff and patient care coordination at Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2020303,TRUE,UPS - Lavandería y Ropería,Laundry and linen service unit ensuring hygiene and supply of clean materials at Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2070000,TRUE,UPS - Centro Obstétrico,"Obstetric center providing maternal and neonatal care, including delivery services, at Hospital Santa Clotilde.",Hospital Santa Clotilde,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2040000,TRUE,UPS - Centro Quirúrgico y Anestesiología,Surgical and anesthesiology center offering operative procedures and pain management at Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2080000,TRUE,UPS - Diagnóstico por Imágenes,"Diagnostic imaging unit equipped for X-rays, ultrasounds, and other imaging services at Hospital Santa Clotilde.",Hospital Santa Clotilde,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2110000,TRUE,UPS - Farmacia,Pharmacy unit dispensing medications and managing pharmaceutical supplies at Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
35d2234e-129a-4c40-abb2-1ae0b2150000,TRUE,UPS - Laboratorio Clínico,Clinical laboratory conducting diagnostic tests and analyses at Hospital Santa Clotilde.,Hospital Santa Clotilde,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
