Uuid,Void/Retire,Name,Description,View privilege,Edit privilege,_order:1000
ca3aed11-1aa4-42a1-b85c-8332fc8001fc,,Check In,Indicates the patient has done the required paperwork and check-in to begin a visit to the clinic/hospital.,,,
67a71486-1a54-468f-ac3e-7091a9a79584,,Vitals,For capturing vital signs,,,
e22e39fd-7db2-45e7-80f1-60fa0d5a4378,,Admission,"Indicates that the patient has been admitted for inpatient care, and is not expected to leave the hospital unless discharged.",,,
181820aa-88c9-479b-9077-af92f5364329,,Discharge,"Indicates that a patient's inpatient care at the hospital is ending, and they are expected to leave soon.",,,
d7151f82-c1f3-4152-a605-2f9ea7414a79,,Visit Note,"Encounter where a full or abbreviated examination is done, usually leading to a presumptive or confirmed diagnosis, recorded by the examining clinician.",,,
25a042b2-60bc-4940-a909-debd098b7d82,,Check Out,The patient is explicitly leaving the hospital/clinic. (Usually no formal encounter is captured for this.),,,
7b68d557-85ef-4fc8-b767-4fa4f5eb5c23,,Intra-Hospital Transfer,Indicates that a patient is being transferred into a different department within the hospital. (Transfers out of the hospital should not use this encounter type.),,,
5021b1a1-e7f6-44b4-ba02-da2f2bcf8718,,Attachment Upload,Encounters used to record uploads of attachments.,,,
3596fafb-6f6f-4396-8c87-6e63a0f1bd71,,Lab Results,Encounter for capturing lab results,,,
30b849bd-c4f4-4254-a033-fe9cf01001d8,,HTS Testing,An encounter where provider conducts HIV test on patient,,,
5301d9c7-1c7a-4c8e-9330-45a65c763729,,HTS Linkage to Care and treatment,An encounter where patient is linked to HIV Care & Treatment,,,
d2d108f4-856b-401b-821d-76056c2914a3,,HTS Result Collection,An encounter where patient collects test results,,,
79c1f50f-f77d-42e2-ad2a-d29304dde2fe,,HTS Retrospective,This is a temporary one to get the work on the retrospective data entry form started,,,
7e54cd64-f9c3-11eb-8e6a-57478ce139b0,,Care and Treatment Service Enrolment,An encounter where a client is enrolled for care and Treatment Services,,,
cb0a65a7-0587-477e-89b9-cf2fd144f1d4,,Clinical Visit,Encounter type associated with a clinical visit,,,
902839fa-f58c-44a1-95a4-dba62d7263f8,,COVID Case Report,CARES COVID case report encounter type,,,
253a43d3-c99e-415c-8b78-ee7d4d3c1d54,,COVID Case Assessment,This encounter type is shared across the COVID Assessment Form/COVID Outcome Form and COVID Lab Result Form,,,
5b37ce7a-c55e-4226-bdc8-5af04025a6de,,COVID Vaccination,This encounter type is used for COVID vaccination encounters to record vaccination administration,,,
15272be5-ae9c-4278-a303-4b8907eae73b,,HIV Lab Order and Results,HIV Lab Order and Results,,,
a77d3e7f-5c8f-4074-a207-77a70e197b0c,,COVID Lab Encounter,Used for COVID Lab Order & Results encounters,,,
3ee00481-50e1-41c3-bfcb-7e6d6a8722fb,,COVID Sample Collection,This encounter type is used by forms used to collect a COVID sample,,,
74bf4fe6-8fdb-4228-be39-680a93a9cf6d,,ART Therapy,ART Therapy,,,
96adb28e-e417-43a3-8f7d-682f8af5e912,,CD4 Lab results,CD4 Lab results,,,
570e9e42-4306-41dc-9bf8-634bbc70a524,,Contact Tracing Form,This form is used to document the contract tracing outcome of an index client,,,
111c2104-991d-4b58-a30e-ce84bb275534,,HIV Death Form,HIV Death Form,,,
881fff34-b4a9-4d11-b2f5-a8a23a9f402b,,Intimate Partner Violence Form,This form is used to assess Intimate Partner violence from a client.,,,
4dd0ee63-805f-43e9-833c-6386ba97fdc1,,Partner Notification Form,This form is used to document partner notification for an index client in a romantic/contact relationship.,,,
36db5123-0ad5-41c0-9037-625b46e0ceef,,Mental Health Assessment,Mental Health Assessment,,,
0cd5d4cb-204e-419a-9dd7-1e18e939ce4c,,Patient Tracing Form,This form is used to document the patient tracing effort and outcome.,,,
390c2f21-c1c4-4246-94ca-a026157cd1db,,Peads Disclosure Form,This form is used to document age-appropriate on disclosure for children and adolescents.,,,
62ee5922-a229-48d3-a1da-875c1ffa9436,,Service Delivery Model Form,This form is used to document the enrolment and dis-enrolment of patients into differentiated service delivery.,,,
3044916a-7e5f-478b-9091-803233f27f91,,Transfer Out,This form is used to transfer out a client from one HIV clinic to another,,,
3eb24129-9f7d-4372-a14e-c2cf577e5db1,,CaCx Registration,Encounter for cervical cancer registration,,,
60c80941-c3dc-45c6-9b78-c150e0470cbd,,CaCx Treatment,Encounter type for cervical cancer treatment,,,
